공정명,공정 설명,선행 작업,후속 작업,BIM 코드값,시방서
내외부 실리콘,자재와 자재가 만나는 조인트 부위의 틈새를 메우고 누수를 방지하기 위해 내·외부 마감 코너에 실리콘(코킹)을 정밀 도포하는 작업,,,,
중문,세대 현관 공간과 실내 거실 공간 등을 분리하기 위해 내부 기능성 중문 구조물을 조립·설치하는 작업,,,,
철골공사,"건축물의 뼈대가 되는 H빔, ㄷ형강 각파이프 등 철골 자재를 조립 및 설치하는 골조 공사",,판넬공사 (https://app.notion.com/p/36e57166998880e98f3ae636d4cb764b?pvs=21),,
철골 방청,철골 부재의 부식 및 녹 방지를 위한 방청 도료(사비 도막) 도장 작업,,,,
잔넬 타공,도면 규격에 맞춘 잔넬(ㄷ형강) 부재의 볼트 체결용 구멍 뚫기(타공),,,,
골조 절단 및 가공,승인된 구조 도면의 부재 치수에 맞춘 철골 자재 정밀 절단,,,,
스티프너 취부,철골 보 및 기둥 부재의 국부 좌굴 방지와 응력 집중 보강을 위한 스티프너 가용접 및 본용접 작업,,,,
인양고리 취부,현장 반입 후 크레인 양중 및 설치 작업을 위해 철골 부재에 인양용 고리를 규격에 맞춰 용접 접합,,,,
캐노피 골조 제작,"외부 캐노피(차양) 구조물 형성을 위한 각 파이프 및 철골 부재의 공장 조립, 용접 및 형태 가공",,,,
판넬공사,건축물의  외벽이나 지붕에 샌드위치 판넬 등을 부착하여 벽체를 형성하는 공사,철골공사 (https://app.notion.com/p/36757166998880148982e858588bf3bc?pvs=21),"경량공사 (https://app.notion.com/p/36e5716699888065a919ef97c47674c4?pvs=21), 창호공사 (https://app.notion.com/p/36e57166998880aebbebede79de71963?pvs=21)",,
바닥판넬,모듈러 유닛 하부의 단열성을 확보하고 바닥 구조를 형성하기 위해 하부면에 단열 판넬을 조립 및 부착하는 작업,,,,
벽 판넬,모듈러 유닛의 외벽 단열 성능을 높이기 위해 단열 벽체 판넬을 설치하는 작업,,,,
지붕 판넬,모듈러 구조물 최상부의 단열과 천장·지붕 구조 형성을 위해 상부를 마감하는 단열 패널 설치 작업,,,,
경량공사,실내  공간 구획을 위해 경량 철골(스터드)을 세우고 석고보드 등을 취부하는 벽체 및 천장 틀 공사,판넬공사 (https://app.notion.com/p/36e57166998880e98f3ae636d4cb764b?pvs=21),설비공사 (https://app.notion.com/p/36e571669988802b89a6edce70177871?pvs=21),,
벽 스터드,실내 공간 구획 및 벽체 조성을 위해 내부 수직·수평 경량 철골(스터드) 프레임을 세우고 고정하는 작업,,,,
천장 스터드,실내 천장 틀 조성 및 석고보드 취부를 위해 천장 상부에 경량 구조틀을 격자 형태로 가설하는 작업,,,,
창호공사,"건물의 내·외부 창문, 문틀, 도어, 유리 등을 설치하여 기밀성과 단열성을 확보하는 공사",판넬공사 (https://app.notion.com/p/36e57166998880e98f3ae636d4cb764b?pvs=21),외장공사 (https://app.notion.com/p/36e5716699888074abe5ea7f2a924e96?pvs=21),,
창호,"건물의 내·외부에 창문, 문틀 및 유리를 설치하여 채광을 확보하고 기밀성과 단열성을 높이는 작업",,,,
현관문,"주 출입구 공간에 보안, 방화 및 단열 기준을 충족하는 외부 출입문(현관문)과 문틀을 시공하는 작업",,,,
폴딩도어,공간의 개방감을 높이고 효율적인 분할·확장을 위해 접이식 형태의 문(폴딩도어)을 조립 및 설치하는 작업,,,,
외장공사,"건물 외벽에 사이딩, 강판 등 외장재를 부착하여 미관과 내구성을 높이는 공사",창호공사 (https://app.notion.com/p/36e57166998880aebbebede79de71963?pvs=21),현장 이동 (https://app.notion.com/p/36e57166998880549aa5fad41ebe0c89?pvs=21),,
외장재,"건물의 외부 디자인 마감과 내구성 확보를 위해 외벽면에 사이딩, 강판 등의 자재를 부착하는 작업",,,,
외벽 방수,외부 기후나 우수로부터 건물을 보호하고 내부 누수를 차단하기 위해 외벽면에 방수 처리를 하는 작업,,,,
후드캡 설치,환기구 마감 및 우수 유입 방지를 위해 외벽의 환기 배관 끝단에 후드캡을 조립 및 고정하는 작업,,,,
설비공사,"건축물 내부의 급수, 배수, 위생기구 및 냉·난방, 공조 배관 등을 설치하는 기계설비 공사",경량공사 (https://app.notion.com/p/36e5716699888065a919ef97c47674c4?pvs=21),수장공사 (https://app.notion.com/p/36e5716699888077a1b2f06c1577e8fe?pvs=21),,
배수 배관,"화장실, 싱크대 등에서 발생하는 생활하수와 오수를 외부로 원활히 배출하기 위한 관로를 설치하는 작업",,,,
급수 배관,위생기구 및 주방 개소 등으로 깨끗한 생활용수를 공급하기 위한 공급 관로를 연결 및 설치하는 작업,,,,
전기 배관,건물 전력 공급 및 신호 전달을 위해 전선이 지나가는 통로인 전선관을 배치하고 매립하는 작업,,,,
공조 설비 배관,실내 공기 순환 및 쾌적한 환경 유지를 위해 환기를 위한 덕트 라인을 설치하는 작업,,,,
수장공사,"벽체 및 천장의 석고보드 취부, 몰딩 설치 등 내부 바탕을 다지는 공사",설비공사 (https://app.notion.com/p/36e571669988802b89a6edce70177871?pvs=21),바닥난방공사 (https://app.notion.com/p/36e57166998880e5a40ecc48dbbd6473?pvs=21),,
석고보드,실내 벽체 및 천장 틀 위에 내부 마감의 기본 바탕면을 형성하기 위해 석고보드를 취부하는 작업,,,,
합판 보강,"향후 무거운 구조물이나 가구, 에어컨 등이 설치될 내부 벽면 자리에 강도를 확보하기 위해 합판을 덧대어 보강하는 작업",,,,
목창호,실내 방이나 화장실 등 내부에 위치한 출입문 자리에 나무 재질의 문틀(문짝 포함)을 조립 및 설치하는 작업,,,,
천장 몰딩,천장과 벽면이 만나는 교차 코너 부위의 틈새를 가리고 깔끔하게 마감하기 위해 몰딩 자재를 설치하는 작업,,,,
바닥난방공사,바닥에 건식 판넬을 깔고 난방 배관을 삽입한 후 열전도판(강판/보드)을 덮어 마감하는 조립식 난방 공사,수장공사 (https://app.notion.com/p/36e5716699888077a1b2f06c1577e8fe?pvs=21),화장실공사 (https://app.notion.com/p/36e5716699888019886dc5137f16111d?pvs=21),,
건식 난방판넬,바닥면 위에 모르타르 타설 없이 조립식으로 난방 효율을 내기 위한 건식 난방용 판넬(모듈판)을 까는 작업,,,,
화장실 난방 배관,화장실 바닥 공간의 난방 및 습기 제거를 위해 바닥면에 난방용 온수 배관(호스)을 삽입 및 배치하는 작업,,,,
화장실공사,"욕실 및 화장실 공간의 방수 처리, 타일 붙이기, 위생도기(변기, 세면대) 및 수전 설치 공사",바닥난방공사 (https://app.notion.com/p/36e57166998880e5a40ecc48dbbd6473?pvs=21),현장 이동 (https://app.notion.com/p/36e57166998880549aa5fad41ebe0c89?pvs=21),,
욕실 방수,욕실 및 화장실 내부의 누수를 방지하기 위해 바닥과 벽면에 방수 처리를 하는 작업,,,,
타일 공사,방수층이 완료된 화장실 내부 바닥과 벽면에 마감재인 타일을 붙이는 작업,,,,
위생도기 설비,"화장실 내부에 양변기, 세면대 등의 위생도기와 수전 부속을 세팅하고 연결하는 작업",,,,
돔천장,화장실 천장 마감을 위해 습기에 강하고 점검이 용이한 SMC 재질의 돔 형태 천장재를 설치하는 작업,,,,
"환풍기, 조명",화장실 내부의 환기를 위한 환풍기 기기와 실내 조명 등기구를 최종 취부하는 작업,,,,
현장 이동,"공장에서 제작 완료된 모듈러 유닛을 현장까지 안전하게 운송(트레일러 이동)하고, 현장 내 크레인 양중 위치로 반입·대기하는 과정","화장실공사 (https://app.notion.com/p/36e5716699888019886dc5137f16111d?pvs=21), 외장공사 (https://app.notion.com/p/36e5716699888074abe5ea7f2a924e96?pvs=21)",현장결합 (https://app.notion.com/p/36e57166998880fba62eddeda68c5399?pvs=21),,
현장결합,"현장으로 운반된 모듈러 유닛들을 크레인으로 인양하여 기초 위에 적층하고, 유닛 간의 구조적 접합(볼팅/용접) 및 설비·전기 선로를 일체화하는 공사","현장 이동 (https://app.notion.com/p/36e57166998880549aa5fad41ebe0c89?pvs=21), 토공사 및 기초공사 (https://app.notion.com/p/36e57166998880d1be44c245803736ec?pvs=21)","보일러공사 (https://app.notion.com/p/36e57166998880e4b746f6a8e305e294?pvs=21), 징크 및 후레싱공사 (https://app.notion.com/p/36e571669988805e962ecfd7d3951c47?pvs=21)",,
모듈 결합,"현장으로 운반된 모듈러 유닛들을 크레인으로 인양하여 기초 위에 적층하고, 유닛 간의 구조적 접합(볼팅/용접)을 진행하는 작업",,,,
설비 결합,적층된 각 모듈러 유닛 간의 분리되어 있던 설비·전기 선로를 서로 연결하여 전체 시스템을 일체화하는 작업,,,,
토공사 및 기초공사,"건물을 짓기 전 땅을 파고(굴착) 지반을 다진 후, 콘크리트를 타설하여 건축물의 기초를 만드는 공사",,현장결합 (https://app.notion.com/p/36e57166998880fba62eddeda68c5399?pvs=21),,
부대공사,건축물 본 공사 외에 기초 및 대지 조성을 지원하기 위해 주변 부대 시설물을 가설하거나 정리하는 작업,,,,
우수공사,부지 내 빗물이 원활하게 배수되도록 우수 관로를 매립하고 집수정 등을 설치하는 작업,,,,
급수 공사,메인 상수도 관로로부터 부지 내부 및 건물 기초 인입부까지 생활용수 공급관을 연결하는 작업,,,,
가스배관공사,연료 공급용 메인 가스 관로를 부지 내 지하로 인입하고 건물 기초 주변으로 배관을 부착·설치하는 작업,,,,
옥외 전기 설비 공사,외부 한전 선로나 메인 관로로부터 부지 내 계량기 및 건물 내부로 전력을 인입하기 위한 배선관을 매립하는 작업,,,,
"오수, 정화조 공사",건물에서 발생하는 오수 처리를 위해 정화조 장비를 지하에 매립하고 오배수 관로를 연결하는 작업,,,,
기초 타설,하중을 견딜 수 있는 튼튼한 건축물 바닥면을 만들기 위해 철근 배근 후 거푸집 내부에 콘크리트를 타설·양생하는 작업,,,,
기초 토공사,콘크리트 구조물이 앉을자리를 확보하기 위해 대지의 흙을 파내고(굴착) 바닥면 지반을 평탄하게 다지는 작업,,,,
기초 앙카,타설되는 콘크리트 기초 구조물과 향후 안착될 모듈러 철골 유닛을 견고하게 볼트 결합하기 위해 앙카를 매립·고정하는 작업,,,,
보일러공사,난방 및 온수 공급을 위해 보일러 기기를 거치하고 분배기 및 배관을 연결하는 공사,현장결합 (https://app.notion.com/p/36e57166998880fba62eddeda68c5399?pvs=21),,,
징크 및 후레싱공사,지붕 마감(징크) 및 누수 방지를 위해 벽체와 지붕의 접합부에 물받이나 후레싱 마감재를 설치하는 공사,현장결합 (https://app.notion.com/p/36e57166998880fba62eddeda68c5399?pvs=21),연결부위 마감공사 (https://app.notion.com/p/36e57166998880e0ac19fca07caa5ab7?pvs=21),,
지붕 방수,누수 방지를 위해 지붕면 및 접합부 구조에 일차적으로 시트 방수 처리를 하는 작업,,,,
지붕 징크 공사,지붕 마감 및 누수 방지를 위해 지붕면에 지정된 디자인의 징크(Zinc) 마감재를 설치하는 작업,,,,
후레상 마감,"지붕 마감 및 누수 방지를 위해 벽체와 지붕의 접합부, 틈새 등에 후레싱 마감재를 설치하는 작업",,,,
홈통,지붕에 고이는 우수를 원활하게 배출하고 누수를 방지하기 위해 물받이 및 선홈통을 설치하는 작업,,,,
연결부위 마감공사,유닛과 유닛이 결합하면서 생긴 내부 벽체·천장의 틈새(조인트)를 메우고 내 외부에 마감재를 덧대어 하나의 연속된 공간으로 정리하는 공사,징크 및 후레싱공사 (https://app.notion.com/p/36e571669988805e962ecfd7d3951c47?pvs=21),"도배공사 (https://app.notion.com/p/36e5716699888026a859f6a122c57a31?pvs=21), 외부공사 (https://app.notion.com/p/36e57166998880648bbfedc7b2204b5f?pvs=21)",,
외장 마감,유닛과 유닛이 결합하면서 생긴 외부 벽체의 틈새(조인트)를 메우고 외부에 마감재를 덧대어 하나의 연속된 공간으로 정리하는 작업,,,,
내장 마감,유닛과 유닛이 결합하면서 생긴 내부 벽체·천장의 틈새(조인트)를 메우고 마감재를 덧대어 하나의 연속된 공간으로 정리하는 작업,,,,
도배공사,내부 벽체와 천장에 초배지를 바르고 최종 벽지를 붙여 실내 면을 마감하는 공사,연결부위 마감공사 (https://app.notion.com/p/36e57166998880e0ac19fca07caa5ab7?pvs=21),"조명기구공사 (https://app.notion.com/p/36e571669988806e8f2ec8e674987471?pvs=21), 바닥재 공사 (https://app.notion.com/p/36e57166998880b2be6cf039f4237fc9?pvs=21)",,
실크도배,내부 벽체와 천장에 초배지를 바르고 최종 벽지(실크벽지)를 붙여 실내 면을 마감하는 작업,,,,
외부공사,"건물 외곽의 조경, 담장, 포장, 데크 설치 등 건물 본체 외부의 잔여 시설물을 조성하는 공사",연결부위 마감공사 (https://app.notion.com/p/36e57166998880e0ac19fca07caa5ab7?pvs=21),,,
데크,"건물 본체 외부의 잔여 시설물 공사 중, 진입로나 마당 주변에 외부 휴식 및 보행 공간을 위한 데크를 설치하는 작업",,,,
조경,"건물 외곽의 대지를 정리하고 잔디, 식재, 수목 등을 배치하여 주변 실외 환경을 푸르게 조성하는 작업",,,,
포장,"건물 외곽의 원활한 보행 및 관리를 위해 마당이나 마감용 통로 바닥면에 콘크리트, 블록 등을 까는 작업",,,,
주차장,차량의 안전한 주차와 진출입을 위해 건물 외부 부지에 경계를 구획하고 바닥면을 조성하는 작업,,,,
조명기구공사,"실내외 천장 및 벽면에 전등, 스위치, 콘센트 등의 전기 기구를 취부하고 점등 테스트를 하는 공사",도배공사 (https://app.notion.com/p/36e5716699888026a859f6a122c57a31?pvs=21),현장마감공사 (https://app.notion.com/p/36e57166998880d6aaebfe9c78b82990?pvs=21),,
스위치 콘센트,스위치와 콘센트를 취부하고 점등 테스트를 하는 작업,,,,
조명,전등(조명)을 취부하고 점등 테스트를 하는 작업,,,,
IOT,IOT 연동 기기를 취부하고 점등 테스트를 하는 작업,,,,
바닥재 공사,"실내 바닥면에 마루, 데코타일, 장판등 지정된 바닥 마감재를 시공하는 공사",도배공사 (https://app.notion.com/p/36e5716699888026a859f6a122c57a31?pvs=21),가구공사 (https://app.notion.com/p/36e571669988808aa9a1d9183d9f0c4d?pvs=21),,
바닥재,"실내 바닥면에 마루, 데코타일, 장판 등 지정된 바닥 마감재를 시공하는 작업",,,,
걸레받이,"실내 바닥면에 지정된 바닥 마감재를 시공한 후, 벽면과 바닥이 만나는 코너 부위에 걸레받이를 시공하는 작업",,,,
가구공사,"주방 싱크대, 신발장, 붙박이장 등 현장 맞춤 가구 또는 기성 가구를 반입하여 설치하는 공사",바닥재 공사 (https://app.notion.com/p/36e57166998880b2be6cf039f4237fc9?pvs=21),현장마감공사 (https://app.notion.com/p/36e57166998880d6aaebfe9c78b82990?pvs=21),,
주방 가구,"주방 공간의 효율적인 사용을 위해 싱크대, 상·하부장, 아일랜드 식탁 등의 맞춤 가구를 배치하고 설치하는 작업",,,,
수납 가구,"의류 및 물품 수납을 위해 각 방과 현관 등에 신발장, 붙박이장, 시스템 드레스룸 등의 가구를 조립·설치하는 작업",,,,
현장마감공사,"시공 상태 최종 점검 및 미진한 부위(코킹, 보수 등)를 정리하는 디테일 마감과, 분진 및 공사 잔해를 제거하여 즉시 입주가 가능하도록 실내외 전반을 세척하는 입주청소(준공청소) 단계","가구공사 (https://app.notion.com/p/36e571669988808aa9a1d9183d9f0c4d?pvs=21), 조명기구공사 (https://app.notion.com/p/36e571669988806e8f2ec8e674987471?pvs=21)",준공 (https://app.notion.com/p/36e57166998880ed8befc25f6916320d?pvs=21),,
준공 청소,"공사 과정에서 발생한 분진, 미세먼지, 공사 잔해물 등을 깨끗이 제거하고 즉시 입주가 가능하도록 실내외 전반을 세척하는 작업",,,,
커튼,"실내 채광 조절과 사생활 보호, 인테리어 효과를 위해 창호 주변에 커튼 박스를 점검하고 커튼 및 블라인드를 설치하는 작업",,,,
냉난방기,쾌적한 실내 기온 유지를 위해 지정된 위치에 천장형 시스템 에어컨이나 벽걸이 냉난방기 기기를 최종 취부하고 연결하는 작업,,,,
준공,"모든 공사를 완료하고 청소(준공청소)를 마친 후, 건축물 사용승인 및 입주가 가능한 상태로 인도하는 단계",현장마감공사 (https://app.notion.com/p/36e57166998880d6aaebfe9c78b82990?pvs=21),,,
